capital,case,bps,fixed,policy,adaptive_paid,fixed3_paid,extra_paid,adaptive_ending_capital,fixed3_ending_capital
190.0,cheap,5.0,0.02,vol_3,9.87200249597678,9.477235818704047,0.39476667727273274,189.0077959516836,188.24536410353966
190.0,base,10.0,0.1,vol_3,5.291440847649328,7.566124510918346,-2.274683663269018,184.4814357888668,186.36518808148142
190.0,expensive,20.0,0.5,vol_3,0.3328996667370578,0.4667048931543431,-0.13380522641728532,149.52886609768305,177.87395760072565
500.0,cheap,5.0,0.02,vol_3,27.53394743831895,25.559593332951053,1.9743541053678975,498.9248899283279,495.9914587260431
500.0,base,10.0,0.1,vol_3,21.690827944374718,23.00987008723849,-1.319042142863772,493.1487964311138,493.4808401252701
500.0,expensive,20.0,0.5,vol_3,5.591777350375274,13.636589145284987,-8.044811794909712,463.9568241021518,484.25210413162904
1000.0,cheap,5.0,0.02,vol_3,56.01612077604633,51.495754730262426,4.520366045783902,998.7864007029373,992.3530505585653
1000.0,base,10.0,0.1,vol_3,48.13609483009764,47.91579911850978,0.220295711587859,990.9937256509913,988.8253401374012
1000.0,expensive,20.0,0.5,vol_3,21.093305379720743,36.22881270104117,-15.135507321320429,964.2624076241132,977.3204815436573
2000.0,cheap,5.0,0.02,vol_3,112.96256980205047,103.35650683890432,9.606062963146144,1998.4917645272058,1985.064841278263
2000.0,base,10.0,0.1,vol_3,101.00883917805137,97.71612310509107,3.292716072960303,1986.6660340295202,1979.502983576872
2000.0,expensive,20.0,0.5,vol_3,65.8777350967626,81.92096367959769,-16.043228582835084,1951.9303869401963,1963.9425856477385
5000.0,cheap,5.0,0.02,vol_3,283.658902521933,258.84625883169076,24.812643690242226,4997.466759470915,4963.109130104178
5000.0,base,10.0,0.1,vol_3,259.4849222411959,247.02488335610397,12.460038885091905,4973.542722520378,4951.44512119256
5000.0,expensive,20.0,0.5,vol_3,200.06321471401736,218.9038350972051,-18.84062038318774,4914.759919987033,4923.716415180377
10000.0,cheap,5.0,0.02,vol_3,567.6771846113381,517.6879048259018,49.98927978543634,9995.289194273037,9926.213067994599
10000.0,base,10.0,0.1,vol_3,523.138993332424,495.5658501600945,27.57314317232948,9951.204170052819,9904.379774143908
10000.0,expensive,20.0,0.5,vol_3,423.23863256206016,446.9035914807734,-23.66495891871324,9852.348431149396,9856.372479062757
