bps,fixed,fee_mult,downtime,fee_mode,policy,capital,days,paid,retained_fees,ending_capital,total_wealth,gross_fees,costs,unrecovered_costs,fee_reserve,rebalances,settlements,max_drawdown,close_in_range_fraction,crossing_bar_fraction,narrow_fraction,gross_fee_apr_pct,spendable_apr_pct
5.0,0.02,0.5,1,strict,fixed_1,190.0,17.99652777777778,6.908776219766975,6.908776219766975,153.0813350496975,159.99011126946445,20.609239437639783,6.791686998105852,0.0,0.0,112,19,0.2058431946996604,0.9444337256415204,0.11653482539070037,0.9783908933050357,219.99484648036537,73.7482413377646
5.0,0.02,0.5,1,strict,fixed_3,190.0,17.99652777777778,4.303350260751563,4.303350260751563,183.15074356793386,187.45409382868542,10.097718164951388,1.4910176434482696,0.0,0.0,17,19,0.07703747506107483,0.9915107080841211,0.0136986301369863,0.0,107.78883734269829,45.936429766362124
5.0,0.02,0.5,1,strict,fixed_5,190.0,17.99652777777778,2.778581490673929,2.7785814906739295,189.1769375515543,191.95551904222822,6.418994337706414,0.8618313563585628,0.0,0.0,7,19,0.07963835784701989,0.9959482924946942,0.0040517075053058075,0.0,68.52002851221077,29.660173065755803
5.0,0.02,0.5,1,strict,economic_3_30m_5,190.0,17.99652777777778,4.303350260751563,4.303350260751563,183.15074356793386,187.45409382868542,10.097718164951388,1.4910176434482696,0.0,0.0,17,19,0.07703747506107483,0.9915107080841211,0.0136986301369863,0.0,107.78883734269829,45.936429766362124
5.0,0.02,1.0,1,strict,fixed_1,190.0,17.99652777777778,17.749192761176054,17.749192761176054,162.89310475170285,180.6422975128789,42.40689154937217,6.908506027020065,0.0,0.0,112,19,0.1566683180151105,0.9444337256415204,0.11653482539070037,0.9783908933050357,452.6754917056777,189.46506728015953
5.0,0.02,1.0,1,strict,fixed_3,190.0,17.99652777777778,9.477235818704047,9.477235818704045,188.24536410353966,197.72259992224372,20.457047888338607,1.5025762509305336,0.0,0.0,17,19,0.06981737123030995,0.9915107080841211,0.0136986301369863,0.0,218.37026656195397,101.16545277193349
5.0,0.02,1.0,1,strict,fixed_5,190.0,17.99652777777778,6.039240688228068,6.039240688228068,192.48822609216725,198.52746678039532,12.943594590835673,0.8651132143795675,0.0,0.0,7,19,0.07471150546377758,0.9959482924946942,0.0040517075053058075,0.0,138.1673551579197,64.46632017085558
5.0,0.02,1.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,9.477235818704047,9.477235818704045,188.24536410353966,197.72259992224372,20.457047888338607,1.5025762509305336,0.0,0.0,17,19,0.06981737123030995,0.9915107080841211,0.0136986301369863,0.0,218.37026656195397,101.16545277193349
5.0,0.02,2.0,1,strict,fixed_1,190.0,17.99652777777778,41.338745280496916,41.33874528049692,184.31347147988296,225.65221676037987,89.8325979946507,7.155107433656806,0.0,0.0,112,19,0.100130910368039,0.9444337256415204,0.11653482539070037,0.9783908933050357,958.9246931971609,441.27348557387364
5.0,0.02,2.0,1,strict,fixed_3,190.0,17.99652777777778,20.229947374726972,20.229947374726972,198.8364627975913,219.06641017231829,41.986154193906124,1.5262594444521993,0.0,0.0,17,19,0.061203254808461005,0.9915107080841211,0.0136986301369863,0.0,448.1842997718667,215.9460653788498
